StructuredFormula,Perovskite_label
Na Ba Li Ni F6,1
Na2 Li (Al F6),1
Li Na2 (Al F6),1
K2 Li (Al F6),1
Rb2 K Y F6,1
Rb2 Na Y F6,0
Cs2 Na Y F6,0
K2 Na Tl F6,0
K2 Na Y F6,0
Cs2 Na Sc F6,0
Rb2 K Rh F6,0
Cs2 Na Tl F6,0
K2 Na Cr F6,0
K2 Na (Fe F6),0
Cs2 Na Bk Cl6,0
Rb Cs Mn2 Cl6,0
K2 Na In F6,0
Cs2 Au (Au Cl6),0
Cs2 Ag Au Cl6,0
Cs2 Na (In F6),0
Cs2 Rb Y F6,0
Cs2 K Y F6,0
K2 Na Sc F6,0
K2 Na Cu F6,0
Cs2 K (Mn F6),0
Cs2 K Bi F6,0
Cs2 Rb Bi F6,0
Cs2 Tl Bi F6,0
Rb2 Na Bi F6,0
Rb2 K (Bi F6),0
Cs2 K Cr F6,0
Rb2 Na Cr F6,0
Rb2 K (Cr F6),0
Rb2 Na (Mn F6),0
Cs2 Tl Mo F6,0
K Rb2 Mo F6,0
Rb2 Na Mo F6,0
K Tl2 Mo F6,0
Na Tl2 Mo F6,0
K2 Na Mo F6,0
Cs2 Na (Fe F6),0
Cs2 K (Ag F6),0
Cs2 Na U Cl6,0
K2 Na (Al F6),0
Tl2 Na Rh F6,0
Cs2 Na (Cr F6),0
Cs2 Li (Ga F6),0
K2 Na V F6,0
Cs2 Na Yb Cl6,0
Cs2 Na Sm Cl6,0
Cs2 Li Lu Cl6,0
K2 Na Mn F6,0
K2 Na Fe F6,0
Cs2 Ag Ag Cl6,0
Cs2 Na Tb Cl6,0
Cs2 Na (V F6),0
K Cs2 Sm Cl6,0
Cs Tl F3,0
Rb2 Na Rh F6,0
Rb2 K In F6,0
Na Cs2 (Al F6),0
Rb2 Na Tm Cl6,0
Cs2 Ag Bi Br6,0
Cs2 Na Y Cl6,0
Cs2 Na Ho Cl6,0
Cs2 Na Er Cl6,0
Cs2 Na (Co F6),0
Cs2 Na (Ti F6),0
Cs2 Na (Ni F6),0
K2 Na Rh F6,0
Cs2 Tl V F6,0
Cs2 K V F6,0
Rb2 K V F6,0
Rb2 Na V F6,0
K2 Na Al F6,0
Cs2 Na Mn F6,0
Cs2 Na (Al F6),0
Rb2 K (Ti F6),0
Rb2 Na (Ti F6),0
Cs2 K (Fe F6),0
Rb2 K (Fe F6),0
Rb2 Na (Fe F6),0
Rb2 K (Co F6),0
Rb2 Na (Co F6),0
Rb2 K (Ni F6),0
Rb2 Na (Ni F6),0
K2 Na (Ni F6),0
Cs2 Na Bi F6,0
Cs2 Na Ga F6,0
Cs2 Na (Ga F6),0
Cs2 Au2 Cl6,0
Cs2 K (Cu F6),0
Cs2 Na Bi Cl6,0
Cs2 K Sc Cl6,0
Cs2 (Au I2) (Au I4),0
(Te2 Se4) (As F6)2,0
(Te2 Se4) (Sb F6)2,0
Rb2 Li Fe F6,0
Cs2 Na Fe F6,0
Cs2 Li Y Cl6,0
Cs2 Na Y Br6,0
Cs2 Li Sc Cl6,0
Cs2 Li In Cl6,0
Cs2 K Ti F6,0
Rb2 K Ti F6,0
Cs2 Na (Sc F6),0
Rb2 Li (Ga F6),0
(Se (Se)3 Te2) (As F6)2,0
Cs2 Au Au Cl6,0
Rb2 (Au Br2) (Au Br4),0
N (S Cl)2 Al Cl4,0
Cs2 Ag Tl Br6,0
Cs2 Ag Tl Cl6,0
Rb2 Na Er F6,0
Cs2 Na Er F6,0
K Au I3,0
Cs2 Hg Pd Cl6,0
Rb2 Na Fe F6,0
Cs2 Ag Sb Cl6,0
Cs2 Bi Ag Cl6,0
Rb2 Na (Al F6),0
Cs2 Ag Bi Cl6,0
Rb2 Li Dy Br6,0
Rb2 K (Ga F6),0
Cs2 Ag Cr Cl6,0
Cs2 K Mo F6,0
Cs2 K (Rh F6),0
Cs2 K (Ti F6),0
Cs2 Tl (Fe F6),0
Cs2 K (Co F6),0
Cs2 K (Ni F6),0
Cs2 Ag In Cl6,0
Rb2 K (Sc F6),0
Cs2 Bi Ag Br6,0
Cs2 K (Tb Cl6),0
Cs2 K (Eu Cl6),0
Cs2 Na (Ce Cl6),0
Cs2 K Mn F6,0
Cs2 Au2 Br6,0
Au2 I6 Rb2,0
Cs2 Au2 I6,0
Cs K2 Bi Cl6,0
Cs2 In Ag Cl6,0
